Tittel,NDLA node id,"bilde url hvis ikke første fra artikkel brukes, evt. nytt utsnitt","Labels for ""subject"" (Fag)","Labels for ""category"" (Kategori)","Labels for  ""fyll inn selv""","Labels for ""fyll inn selv""","Labels for ""fyll inn selv""","Labels for ""fyll inn selv""","labels for """" (tomt blir til Annet)"
Brosme,84579,,Naturbruk,Ferskvannsfisk,,,,,,,
Gjedde,145235,,Naturbruk,Ferskvannsfisk,,,,,,,
Hjerteskjell,145243,,Naturbruk,Kreps og skalldyr,,,,,,,
Hummer,84489,,Naturbruk,Kreps og skalldyr,,,,,,,
Hvitting,145256,,Naturbruk,Saltvannsfisk,,,,,,,
"Hyse/kolje",84494,,Naturbruk,Saltvannsfisk,,,,,,,
Kamskjell,84499,,Naturbruk,Kreps og skalldyr,,,,,,,
Kongekrabbe,84478,,Naturbruk,Kreps og skalldyr,,,,,,,
Krabbe,84502,,Naturbruk,Kreps og skalldyr,,,,,,,
Kreps,145232,,Naturbruk,Kreps og skalldyr,,,,,,,
Kråkebolle,84504,,Naturbruk,Kreps og skalldyr,,,,,,,
Kveite,84484,,Naturbruk,Saltvannsfisk,,,,,,,
"Laks (vill)",84442,,Naturbruk,"Saltvannsfisk, Ferskvannsfisk",,,,,,,
Lange,84508,,Naturbruk,Saltvannsfisk,,,,,,,
Lyr,84535,,Naturbruk,Saltvannsfisk,,,,,,,
Makrell,84538,,Naturbruk,Saltvannsfisk,,,,,,,
Oskjell,145348,,Naturbruk,Kreps og skalldyr,,,,,,,
Pigghå,145355,,Naturbruk,Saltvannsfisk,,,,,,,
Piggvar,84542,,Naturbruk,Saltvannsfisk,,,,,,,
Reker,84544,,Naturbruk,Kreps og skalldyr,,,,,,,
Rødspette,84546,,Naturbruk,Saltvannsfisk,,,,,,,
Røye,84497,,Naturbruk,Ferskvannsfisk,,,,,,,
Sei,84550,,Naturbruk,Saltvannsfisk,,,,,,,
Sild,84552,,Naturbruk,Saltvannsfisk,,,,,,,
Sjøkreps,145376,,Naturbruk,Kreps og skalldyr,,,,,,,
"Skrei/Torsk",84445,,Naturbruk,Saltvannsfisk,,,,,,,
Steinbit,84558,,Naturbruk,Saltvannsfisk,,,,,,,
Uer,84561,,Naturbruk,Saltvannsfisk,,,,,,,
"Ørret (oppdrett)",84481,,Naturbruk,Ferskvansfisk,,,,,,,
"Ørret (vill)",84481,,Naturbruk,"Saltvannsfisk, Ferskvannsfisk",,,,,,,
Østers,84564,,Naturbruk,Kreps og skalldyr,,,,,,,
Ål,145384,,Naturbruk,"Saltvannsfisk, Ferskvannsfisk",,,,,,,
